strategy,period,annualized_return,max_drawdown,sharpe,average_exposure
ret20_f0.2_r5,验证期2024,0.1208900543058915,-0.08333236306102065,0.783379262068129,0.5636363636363637
ret20_f0.2_r5,验证期2025-2026-08,0.07914500168209071,-0.1377733007830525,0.6860240261960483,0.6823821339950372
ret20_f0.2_r5,全周期,0.05916532324715473,-0.21510762052164356,0.4932279012546105,0.6498572787821123
ret20_f0.2_r10,设计期2018-2023,0.022275006864835634,-0.3287604323932639,0.22887787769271808,0.6606726149622513
ret20_f0.2_r10,验证期2024,-0.010548086265675938,-0.0947878721143589,-0.0029675606126281606,0.5636363636363637
ret20_f0.2_r10,验证期2025-2026-08,0.05991804775660081,-0.11800275681855454,0.5456404240134024,0.6625310173697271
ret20_f0.2_r10,全周期,0.02548045642037855,-0.3794702662866076,0.25470223876019243,0.6498572787821123
ret20_f0.2_r20,设计期2018-2023,0.06596354205094968,-0.22898997594494175,0.522147779898193,0.649691146190803
ret20_f0.2_r20,验证期2024,-0.11269393267015237,-0.1441322025687588,-0.6670004501933988,0.5966942148760331
ret20_f0.2_r20,验证期2025-2026-08,0.147293115480301,-0.10046508899434003,1.2103589752743564,0.6823821339950372
ret20_f0.2_r20,全周期,0.05837420532811821,-0.30529494552047065,0.4777446353616288,0.6498572787821123
ret20_f0.2_r40,设计期2018-2023,0.09949606885485807,-0.2391832189896066,0.7305005219446771,0.6387096774193548
ret20_f0.2_r40,验证期2024,-0.022853540651336046,-0.09478787211435935,-0.08652885226586592,0.5305785123966943
ret20_f0.2_r40,验证期2025-2026-08,0.13739847682606277,-0.12621770020065481,0.975462121082022,0.7955334987593052
ret20_f0.2_r40,全周期,0.09153962577575592,-0.2391832189896066,0.6838245529854194,0.6563273073263558
ret20_f0.4_r5,设计期2018-2023,0.0646958397708206,-0.2182693282679541,0.5181954736417176,0.7413864104323954
ret20_f0.4_r5,验证期2024,0.11170165237423269,-0.10457678525803427,0.7041804601197789,0.6727272727272727
ret20_f0.4_r5,验证期2025-2026-08,0.09436132209781545,-0.15787591709098336,0.7631220819866119,0.7617866004962779
ret20_f0.4_r5,全周期,0.07552323836270824,-0.2182693282679541,0.5853468407906364,0.7373929590865842
ret20_f0.4_r10,设计期2018-2023,0.04791914127352204,-0.2906456993396346,0.39502484536317156,0.7455044612216885
ret20_f0.4_r10,验证期2024,0.01286186485735663,-0.11347913794026565,0.1633416446464301,0.6727272727272727
ret20_f0.4_r10,验证期2025-2026-08,0.07974276399933355,-0.14340321621860064,0.6658533267186248,0.7468982630272953
ret20_f0.4_r10,全周期,0.049730570131241825,-0.33126282579714894,0.4125593511022336,0.7373929590865842
ret20_f0.4_r20,设计期2018-2023,0.0813279901630064,-0.23005191225744748,0.6081109705995761,0.7372683596431023
ret20_f0.4_r20,验证期2024,-0.06698342153933445,-0.1588189119439607,-0.3223039629475266,0.6975206611570248
ret20_f0.4_r20,验证期2025-2026-08,0.14583407385669966,-0.129131405336239,1.1344889355698398,0.7617866004962779
ret20_f0.4_r20,全周期,0.07483368225380538,-0.2611660803674113,0.570743373670529,0.7373929590865842
ret20_f0.4_r40,设计期2018-2023,0.1066885547038594,-0.2300519122574478,0.7580104465746484,0.7290322580645162
ret20_f0.4_r40,验证期2024,0.003332194696571422,-0.0851581501951525,0.10258336174476629,0.6479338842975207
ret20_f0.4_r40,验证期2025-2026-08,0.13796108948890384,-0.13870501336588015,0.9564040830305832,0.8466501240694789
ret20_f0.4_r40,全周期,0.09991802584918585,-0.2300519122574478,0.7169308588608834,0.7422454804947669
ret20_f0.6_r5,设计期2018-2023,0.08523065756793446,-0.22349064989271428,0.6235876174475358,0.8275909402882635
ret20_f0.6_r5,验证期2024,0.1014260018074955,-0.1379644613579889,0.6153443412969234,0.7818181818181817
ret20_f0.6_r5,验证期2025-2026-08,0.10908048293414163,-0.17805711704102656,0.8081487554404356,0.8411910669975186
ret20_f0.6_r5,全周期,0.09144993966088455,-0.22349064989271428,0.6533310329797121,0.8249286393910561
ret20_f0.6_r10,设计期2018-2023,0.0737054422550687,-0.2724688605687101,0.5413128193535168,0.8303363074811255
ret20_f0.6_r10,验证期2024,0.035427569956336225,-0.1437104675970503,0.29139430911262393,0.7818181818181817
ret20_f0.6_r10,验证期2025-2026-08,0.09920723630533401,-0.16864609386894636,0.7494743927593264,0.8312655086848635
ret20_f0.6_r10,全周期,0.07390391179519296,-0.28040642825410855,0.544698167505456,0.8249286393910561
ret20_f0.6_r20,设计期2018-2023,0.09640507785004626,-0.2314903761320024,0.6765640940866068,0.8248455730954015
ret20_f0.6_r20,验证期2024,-0.019987180610023914,-0.1733670526389568,-0.014159768181381083,0.7983471074380165
ret20_f0.6_r20,验证期2025-2026-08,0.14361699006774575,-0.15942832651060534,1.035146675610918,0.8411910669975186
ret20_f0.6_r20,全周期,0.09092326257374106,-0.2314903761320024,0.6424462056215948,0.8249286393910561
ret20_f0.6_r40,设计期2018-2023,0.11344640836698883,-0.23149037613200263,0.7710191816454572,0.8193548387096774
ret20_f0.6_r40,验证期2024,0.028876286661574824,-0.12553287349288356,0.25381791256499364,0.7652892561983471
ret20_f0.6_r40,验证期2025-2026-08,0.1380695100755971,-0.16586819773416106,0.9235585140271952,0.8977667493796525
ret20_f0.6_r40,全周期,0.10777821875218496,-0.23149037613200263,0.7331692444360456,0.8281636536631779
ma20_fNone_r5,设计期2018-2023,0.007928703418655703,-0.28986209346347547,0.1285334737388993,0.606726149622512
ma20_fNone_r5,验证期2024,0.1326352541727156,-0.0825516771607937,0.8160713558728232,0.45454545454545453
ma20_fNone_r5,验证期2025-2026-08,0.09713959619653068,-0.11204049606263833,0.8186029167901946,0.6401985111662531
ma20_fNone_r5,全周期,0.038269241748422944,-0.28986209346347547,0.347303648106776,0.5956232159847764
ma20_fNone_r10,设计期2018-2023,0.014884234146548492,-0.22112511576488292,0.17868301178959495,0.5964310226492794
ma20_fNone_r10,验证期2024,0.02716140520929744,-0.11510899288231102,0.2564202018981058,0.49586776859504134
ma20_fNone_r10,验证期2025-2026-08,0.12095335742793956,-0.10046508899433981,1.0050432047427766,0.6029776674937966
ma20_fNone_r10,全周期,0.035801312295374865,-0.26123663938811914,0.32880703869637,0.5861084681255947
